TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769389712;0.42613694;-0.007077877;0.8117592;7.4744596;-4.616465;8.049126;43.78848077;4.831851125;7.669472;0
1668769389721;0.09347678;0.031972475;0.90718853;8.76946;-4.756465;7.9441247;43.78848077;4.831851125;7.669472;0
1668769389732;0.42369634;0.10909692;1.0453291;7.1244597;-2.096465;8.574125;43.78848077;4.831851125;7.669472;0
1668769389742;0.117639184;0.06321276;0.83763003;5.44446;-3.251465;11.934125;43.78848077;4.831851125;7.669472;0
1668769389751;-0.12813397;-0.06077211;0.86789405;5.16446;-5.911465;3.114125;43.78848077;4.831851125;7.669472;0
1668769389761;0.32582638;-0.07102282;1.0746169;7.29946;-6.611465;-1.0858752;43.78848077;4.831851125;7.669472;0
1668769389771;-0.6152871;0.043199454;0.8840024;8.24446;1.333535;-3.640875;43.78848077;4.831851125;7.669472;0
1668769389781;0.4583535;0.19598395;0.85837555;6.66946;-6.156465;-5.320875;43.78848077;4.831851125;7.669472;0
1668769389790;0.60528046;-0.06077211;0.83860636;6.38946;3.818535;-3.5358748;43.78848077;4.831851125;7.669472;0
1668769389800;0.3228976;0.088107355;0.93305933;6.5644603;2.628535;-3.500875;43.78848077;4.831851125;7.669472;0
1668769389810;0.24504097;0.04466384;1.0079873;5.6894603;-3.811465;-6.3708754;43.78848077;4.831851125;7.669472;0
1668769389820;0.004881294;-0.04344352;1.1100063;3.76446;-0.66146505;-5.215875;43.78848077;4.831851125;7.669472;0
1668769389832;-0.19232298;0.054670494;0.780763;5.65446;-7.2764654;-2.4508748;43.78848077;4.831851125;7.669472;0
1668769389844;0.06760593;0.0946971;1.1368533;4.88446;-4.511465;-10.605875;43.78848077;4.831851125;7.669472;0
1668769389851;0.14570662;0.004881294;1.0638779;2.9244602;3.783535;-7.595875;43.78848077;4.831851125;7.669472;0
1668769389862;0.19110265;-0.20135337;0.60186356;1.03446;6.583535;-7.5258756;43.78848077;4.831851125;7.669472;0
1668769389872;0.4254048;0.012935429;1.233259;4.04446;-2.936465;-13.090875;43.78848491;4.831883793;7.5271015;0
