TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; Alt; Bear; VitGPS(km/h); Azi; Pitch; Roll; Azi1; Pitch1; Roll1; gravX; gravY; gravZ; Event
1682615970614;-0.017572658;-0.005369423;0.988218;-2.78824;1.7927351;6.227515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.9444847;0.005432528;-1.5530161;86.944824;0.63889545;187.77722;0.52263767;-0.10935002;9.792095;0
1682615970624;-0.016840464;0.060528047;0.81786084;-2.33324;1.022735;6.157515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.8461533;-0.07385748;-1.5502083;86.95061;0.6590319;187.63197;0.5216482;-0.11279632;9.792099;0
1682615970634;-0.07541599;0.03636564;0.8105388;-2.75324;1.827735;6.5425153;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.8034697;-0.044643365;-1.4780192;86.96958;0.65882087;187.4747;0.51840454;-0.11276019;9.792266;0
1682615970644;-0.19061452;-7.32E-04;0.9027953;-2.78824;2.282735;6.682515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.3625743;7.94E-04;-1.3627143;86.96812;0.6560807;187.29022;0.51865476;-0.112291224;9.792263;0
1682615970655;-0.0788329;0.07004657;1.0345902;-1.80824;-0.237265;5.912515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.813252;-0.06740668;-1.4947461;86.92913;0.65664655;187.1117;0.5253186;-0.112388074;9.791911;0
1682615970663;-0.13228306;0.05247391;1.2566892;-2.33324;0.812735;6.367515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.644289;-0.041502405;-1.4659194;86.90958;0.62670517;186.92548;0.5286636;-0.10726368;9.791787;0
1682615970672;0.24699347;-0.034901254;1.1405144;-2.61324;0.812735;5.737515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.2527914;0.029899115;-1.7840662;86.864494;0.587979;186.73024;0.53637075;-0.100635745;9.791439;0
1682615970682;0.20916344;-0.029531827;0.94404227;-2.61324;1.162735;5.317515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.2540462;0.030532168;-1.7888355;86.90984;0.56981856;186.54353;0.5286229;-0.097527586;9.791885;0
1682615970694;-0.071510956;0.008054135;0.8930327;-1.7732401;-0.377265;3.952515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.8376255;-0.008989839;-1.4908903;87.07203;0.54904586;185.19595;0.50090396;-0.09397234;9.793378;0
1682615970703;0.50423765;0.018060789;0.80712193;-1.10824;-0.79726505;3.497515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.8188498;-0.018975448;-2.1292055;87.183716;0.5287858;183.84933;0.4818152;-0.09050481;9.794372;0
1682615970717;-0.22502767;0.09811401;1.1812731;-0.72323996;-2.057265;2.902515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.0060582;-0.0814103;-1.3825558;87.78034;0.456272;182.99983;0.37980568;-0.07809393;9.79896;0
1682615970725;0.6221209;-0.01195917;0.9389169;-1.70324;-6.502265;2.9725149;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.8579726;0.010617505;-2.1559741;87.99752;0.3750301;182.46974;0.34266335;-0.06418907;9.80044;0
1682615970734;0.11666292;-0.026114924;0.984557;-1.98324;0.007735;3.672515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.5315073;0.02633418;-1.6887392;88.91184;0.2621536;182.41888;0.1862337;-0.044869617;9.804774;0
1682615970744;-0.271644;-0.051497653;1.0572883;-1.31824;1.267735;2.412515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.3309588;0.047140192;-1.3193105;89.6043;0.20707087;182.41641;0.06772563;-0.035441827;9.806336;0
1682615970754;0.3512091;0.0165964;0.8122473;-0.9682399;-2.057265;1.9225152;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.9311752;-0.018752368;-1.9789113;89.76782;0.20862347;182.40495;0.039738346;-0.035707567;9.806495;0
1682615970764;-0.16816057;-0.037097834;0.8139558;-0.33824;1.6527349;1.9575149;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.408938;0.044605006;-1.3670659;89.764404;179.8093;182.43086;-0.040324647;-0.03264047;9.806511;0
1682615970774;-0.68557775;-0.030264024;1.1932323;0.08176;4.3127346;1.222515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;1.920219;0.021988079;-1.0492965;89.6269;179.80571;182.49544;-0.063858815;-0.033253614;9.806385;0
1682615970784;-0.2523629;0.06345682;1.0931658;0.95676;-1.462265;-0.247485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.0214705;-0.05650085;-1.3439159;89.82018;179.79617;182.52373;-0.030776959;-0.034886148;9.806525;0
1682615970794;0.48642093;0.053206105;0.8320165;-0.09324;-2.967265;0.172515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.7582531;-0.05515012;-2.0998368;89.90371;0.17140129;182.58418;0.016481198;-0.029336715;9.8065815;0
1682615970804;-0.5266916;-0.017084528;1.1610157;-1.31824;4.977735;1.8875151;45.7699554;4.856244839;234.3322247;272.64005;11.858584;1.9352702;0.013399913;-1.1449136;89.93915;0.15675005;182.59746;0.010415359;-0.026829043;9.806599;0
1682615970814;-0.37659183;-0.10836472;1.0992674;0.57176;1.7227349;-0.912485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.1810172;0.09298929;-1.240743;89.665054;0.1412317;182.53896;0.057327244;-0.024172958;9.806437;0
1682615970823;0.1618149;0.04417571;0.8696025;0.64176;-5.067265;-1.577485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.010071;-0.049901143;-1.7547714;89.16821;0.17072831;182.46158;0.142361;-0.02922153;9.805557;0
1682615970834;-0.46323478;-0.041246936;1.1287992;0.39676002;5.1527348;-0.80748504;45.7699554;4.856244839;234.3322247;272.64005;11.858584;1.9788876;0.033791848;-1.1813753;89.04381;0.16354367;182.34901;0.16365126;-0.027991822;9.805225;0
1682615970844;0.04612823;-0.059551787;0.98772985;1.02676;1.932735;-2.347485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.9629774;0.060153272;-1.6174637;88.489296;0.18315311;182.19287;0.25853816;-0.031348128;9.803186;0
1682615970854;0.077368505;0.067361854;1.1112266;0.74676;-2.862265;-1.962485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.497243;-0.06039942;-1.6403086;88.212715;0.21483642;182.04004;0.30585694;-0.03677096;9.801793;0
1682615970864;-2.44E-04;0.075171925;1.173463;0.25676003;-2.6522648;-1.507485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;3.13868;-0.06397249;-1.5705884;88.14248;0.20730177;181.90825;0.31787223;-0.03548135;9.80141;0
1682615970874;0.4129575;0.001220324;0.9120698;-0.9682399;-3.1772652;-0.562485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.8751036;-0.001218858;-1.995951;88.11415;0.18519226;181.77728;0.32271895;-0.031697143;9.801281;0
1682615970884;0.32411793;0.019525176;0.8381182;-0.47824;0.182735;-0.247485;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.8623465;-0.02172485;-1.9398031;88.21696;0.17533839;181.63234;0.3051323;-0.030010577;9.801845;0
1682615970894;-0.76197;-0.09860214;1.0406919;-0.37324002;3.542735;0.38251498;45.7699554;4.856244839;234.3322247;272.64005;11.858584;1.8853794;0.07629799;-0.9388002;88.50223;0.13869146;181.50871;0.25632644;-0.023738174;9.803259;0
1682615970904;-0.132039;-0.07029063;0.8808295;-1.07324;-0.657265;1.6425151;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.500876;0.078755505;-1.4220012;88.38041;0.1518046;181.35402;0.27716893;-0.025982592;9.802684;0
1682615970914;-0.4468825;0.005125359;1.1007318;0.32676;1.0577351;1.5025151;45.7699554;4.856244839;234.3322247;272.64005;11.858584;1.8798217;-0.004314294;-1.1851397;88.26381;0.1954472;181.18027;0.29711637;-0.033452354;9.80208;0
1682615970924;-0.3346127;-0.015132012;1.1646767;-0.09324;-1.567265;2.3425152;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.0107887;0.012486661;-1.2910304;87.84559;0.23095109;180.96823;0.36865532;-0.039529096;9.799627;0
1682615970936;0.3504769;0.046372294;0.9367204;-0.51324004;-3.8772652;2.5175152;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.7752056;-0.04633264;-1.9288243;87.31046;0.272242;180.70032;0.4601613;-0.046596315;9.795721;0
1682615970945;-0.13765249;-0.051741716;0.9999331;-1.59824;0.602735;4.197515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.4107418;0.051216897;-1.4339945;87.27805;0.27546072;180.4113;0.46570164;-0.04714722;9.795458;0
1682615970954;0.099578395;-0.12911023;1.0323937;-2.19324;-4.507265;5.107515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.77331;0.12384433;-1.6669527;87.179344;0.30272725;180.08528;0.48257625;-0.05181405;9.794622;0
1682615970964;0.4468825;0.021233628;0.8954734;-1.2132401;-3.352265;5.037515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.7541066;-0.021213727;-2.0336804;87.20232;0.3569076;179.7622;0.47864756;-0.061087314;9.794765;0
1682615970974;-0.02709118;0.012447299;0.9682046;0.04676;-1.077265;4.232515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;2.7837737;-0.012850326;-1.5428228;87.40007;0.4075488;179.46886;0.4448356;-0.06975478;9.796294;0
1682615970986;0.005125359;-0.013911689;0.88546675;-0.30324;0.32273504;4.512515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-3.1364508;0.015709583;-1.5765846;87.53197;0.4271452;179.21785;0.4222814;-0.073108785;9.79726;0
1682615970994;0.08176167;0.13325933;0.93305933;0.74676;-1.322265;3.042515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.3398257;-0.1413261;-1.6582006;87.64008;0.44817033;179.01453;0.40379184;-0.0767073;9.798012;0
1682615971004;0.3070334;0.021477694;0.9916349;-0.65323997;-1.882265;3.042515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-1.9261156;-0.020686882;-1.8710583;87.805916;0.40176493;178.845;0.37543488;-0.06876486;9.799208;0
1682615971014;0.029531827;-0.01976924;1.0658306;-1.4232401;-1.112265;3.217515;45.7699554;4.856244839;234.3322247;272.64005;11.858584;-2.8946803;0.018538961;-1.598497;88.21924;0.34380084;178.74413;0.3047381;-0.05884403;9.801734;0
